date,exposure,r_v30,r_v31,qqq_ret
1987-02-05,1.0000,0.00657000,0.00657000,0.00657000
1987-02-06,1.0000,0.00000000,0.00000000,-0.00000000
1987-02-09,1.0000,-0.00573000,-0.00573000,-0.00573000
1987-02-10,1.0000,-0.00746000,-0.00746000,-0.00746000
1987-02-11,1.0000,0.02123000,0.02123000,0.02123000
1987-02-12,1.0000,0.00164000,0.00164000,0.00164000
1987-02-13,1.0000,0.01591000,0.01591000,0.01591000
1987-02-17,1.0000,0.02563000,0.02563000,0.02563000
1987-02-18,1.0000,-0.01326000,-0.01326000,-0.01326000
1987-02-19,1.0000,-0.00737000,-0.00737000,-0.00737000
1987-02-20,1.0000,-0.00656000,-0.00656000,-0.00656000
1987-02-23,1.0000,-0.00546000,-0.00546000,-0.00546000
1987-02-24,1.0000,0.00697000,0.00697000,0.00697000
1987-02-25,1.0000,0.01137000,0.01137000,0.01137000
1987-02-26,1.0000,0.00674000,0.00674000,0.00674000
1987-02-27,1.0000,0.00313000,0.00313000,0.00313000
1987-03-02,1.0000,-0.00920000,-0.00920000,-0.00920000
1987-03-03,1.0000,-0.00274000,-0.00274000,-0.00274000
1987-03-04,1.1854,0.01768586,0.01768983,0.01503000
1987-03-05,1.1854,0.00901821,0.00902218,0.00764000
1987-03-06,1.1854,-0.00248051,-0.00247654,-0.00206000
1987-03-09,1.1854,-0.01165578,-0.01165181,-0.00980000
1987-03-10,1.1854,0.01291829,0.01292227,0.01093000
1987-03-11,1.1854,0.00541449,0.00541846,0.00460000
1987-03-12,1.1854,-0.00346442,-0.00346045,-0.00289000
1987-03-13,1.1854,-0.01030438,-0.01030041,-0.00866000
1987-03-16,1.1854,-0.00282429,-0.00282031,-0.00235000
1987-03-17,1.3082,0.02259804,0.02260464,0.01737000
1987-03-18,1.4354,0.00099429,0.00100362,0.00080000
1987-03-19,1.4354,0.01472340,0.01473273,0.01032000
1987-03-20,1.4354,0.01419228,0.01420161,0.00995000
1987-03-23,1.4354,-0.00327714,-0.00326781,-0.00222000
1987-03-24,1.4354,0.00585232,0.00586165,0.00414000
1987-03-25,1.4354,0.00005310,0.00006243,0.00010000
1987-03-26,1.5714,0.00407184,0.00408408,0.00271000
1987-03-27,1.5714,-0.01371128,-0.01369904,-0.00865000
1987-03-30,1.5714,-0.04342644,-0.04341419,-0.02756000
1987-03-31,1.2506,0.01481945,0.01482482,0.01202000
1987-04-01,1.2506,0.00021058,0.00021595,0.00021000
1987-04-02,1.2506,0.01062786,0.01063323,0.00854000
1987-04-03,1.2506,0.02463429,0.02463966,0.01974000
1987-04-06,1.2506,-0.00292836,-0.00292300,-0.00230000
1987-04-07,1.2506,-0.02281250,-0.02280713,-0.01820000
1987-04-08,1.1337,0.01110391,0.01110678,0.00987000
1987-04-09,1.1337,-0.00329298,-0.00329011,-0.00288000
1987-04-10,1.1337,-0.00266942,-0.00266655,-0.00233000
1987-04-13,1.1337,-0.02613802,-0.02613516,-0.02303000
1987-04-14,1.0226,-0.02349742,-0.02349693,-0.02292000
1987-04-15,1.0226,0.01557917,0.01557965,0.01524000
1987-04-16,1.0226,0.00722483,0.00722532,0.00707000
1987-04-20,1.0226,-0.00899301,-0.00899253,-0.00879000
1987-04-21,1.0226,0.01411691,0.01411739,0.01381000
1987-04-22,1.0226,-0.00374727,-0.00374678,-0.00366000
1987-04-23,1.0226,-0.00100680,-0.00100631,-0.00098000
1987-04-24,1.0226,-0.01887097,-0.01887049,-0.01845000
1987-04-27,1.0226,-0.00465735,-0.00465686,-0.00455000
1987-04-28,1.0226,0.00979146,0.00979195,0.00958000
1987-04-29,1.0226,0.00540467,0.00540515,0.00529000
1987-04-30,1.0226,0.01466909,0.01466957,0.01435000
1987-05-01,1.0226,0.00554783,0.00554831,0.00543000
1987-05-04,1.0226,0.00343112,0.00343161,0.00336000
1987-05-05,1.0226,0.01803332,0.01803380,0.01764000
1987-05-06,1.0226,-0.00235658,-0.00235610,-0.00230000
1987-05-07,1.0226,0.00391173,0.00391221,0.00383000
1987-05-08,1.0226,0.00187683,0.00187731,0.00184000
1987-05-11,1.0226,-0.00599690,-0.00599642,-0.00586000
